"","VIN","Price","Year","Make","Model.Group","Model.Detail","Body.Style","Color","Damage.Description","Odometer","Est..Retail.Value","Repair.cost","Engine","Drive","Cylinders","Sale.Status","ImportPrice","ShippingCost"
"275","4T1BF1FK5GU263458",2600,2016,"TOYOTA","CAMRY","Camry LE","SEDAN 4D","BLACK","Front",29403,15650,13232,2.5,"F",4,"Pure",2671,3000
"276","4T4BF1FK8GR555000",5400,2016,"TOYOTA","CAMRY","Camry LE","SEDAN 4D","GRAY","Rear",39637,15226,10483,2.5,"F",4,"Pure",4062,3000
"277","4T4BF1FK0GR550809",5700,2016,"TOYOTA","CAMRY","Camry LE","SEDAN 4D","BLUE","Front",36814,14597,11130,2.5,"F",4,"Minimum",4211,3000
"278","4T1BF1FK4GU131081",6600,2016,"TOYOTA","CAMRY","Camry LE","SEDAN 4D","GRAY","Side",44728,16916,10040,2.5,"F",4,"Pure",4658,3000
"279","4T1BF1FK5GU159262",6900,2016,"TOYOTA","CAMRY","Camry LE","SEDAN 4D","WHITE","Side",69639,13839,0,2.5,"F",4,"Pure",4807,3000
"280","5TDYKRFH8GS129223",9300,2016,"TOYOTA","HIGHLANDER","HIGHLANDER","4DR SPOR","SILVER","Front",39511,31160,22485,3.5,"F",6,"Pure",6000,3000
"281","5TDYKRFH7GS123462",14600,2016,"TOYOTA","HIGHLANDER","HIGHLANDER","4DR SPOR","GRAY","Front",43963,33010,15179,3.5,"F",6,"Minimum",8633,3000
"282","5YFBURHE5GP555348",4650,2016,"TOYOTA","COROLLA","COROLLA L","SEDAN 4D","SILVER","Rear",67710,13240,11757,1.8,"F",4,"Pure",3690,3000
"283","5YFBURHE1GP440617",3900,2016,"TOYOTA","COROLLA","COROLLA L","SEDAN 4D","WHITE","Front",72637,12032,15166,1.8,"F",4,"Minimum",3317,3000
"284","5YFBURHE5GP474754",3200,2016,"TOYOTA","COROLLA","COROLLA L","SEDAN 4D","BLUE","Side",27802,12337,9491,1.8,"F",4,"Minimum",2969,3000
"285","4T1BK1FK1GU571688",4750,2016,"TOYOTA","CAMRY","Camry XSE","SEDAN 4D","GRAY","Front",27479,22000,20000,3.5,"F",6,"Minimum",3739,3000
"286","2T1BURHE1GC585401",2500,2016,"TOYOTA","COROLLA","COROLLA L","SEDAN 4D","BLACK","Rear",75193,17205,17205,1.8,"F",4,"Pure",2622,3000
"287","2T1BURHE4GC554434",4600,2016,"TOYOTA","COROLLA","COROLLA L","SEDAN 4D","WHITE","Front",51600,15100,13700,1.8,"F",4,"Pure",3665,3000
"288","5YFBURHE8GP434295",2750,2016,"TOYOTA","COROLLA","COROLLA L","SEDAN 4D","BLACK","Front",42665,13742,8417,1.8,"F",4,"Minimum",2746,3000
"289","2T1BURHE3GC602103",5600,2016,"TOYOTA","COROLLA","COROLLA L","SEDAN 4D","WHITE","Front",50889,15165,12236,1.8,"F",4,"Minimum",4162,3000
"290","4T1BF1FK9GU117712",6500,2016,"TOYOTA","CAMRY","Camry LE","SEDAN 4D","WHITE","Front",127189,9477,8363,2.5,"F",4,"Minimum",4609,3000
"291","4T1BF1FK8GU242202",6300,2016,"TOYOTA","CAMRY","Camry LE","SEDAN 4D","BLACK","Side",34773,12569,10680,2.5,"F",4,"Pure",4509,3000
"292","2T1BURHE9GC641424",3500,2016,"TOYOTA","COROLLA","COROLLA L","SEDAN 4D","BLUE","Rear",21530,12079,9314,1.8,"F",4,"Pure",3118,3000
"293","4T1BK1EB4GU219724",9400,2016,"TOYOTA","AVALON","AVALON XLE","SEDAN 4D","BLACK","Front",28311,22373,14142,3.5,"F",6,"Minimum",6049,3000
"294","4T4BF1FK8GR576915",2800,2016,"TOYOTA","CAMRY","Camry LE","SEDAN 4D","WHITE","Rear",45499,15352,25998,2.5,"F",4,"Minimum",2771,3000
"295","2T1BURHE1GC630031",3600,2016,"TOYOTA","COROLLA","COROLLA L","SEDAN 4D","BLACK","Rear",47370,12130,0,1.8,"F",4,"Minimum",3168,3000
"296","2T1BURHEXGC558844",2850,2016,"TOYOTA","COROLLA","COROLLA L","SEDAN 4D","BLUE","Side",28218,14698,10437,1.8,"F",4,"Pure",2795,3000
"297","2T1BURHE5GC716555",4550,2016,"TOYOTA","COROLLA","COROLLA L","SEDAN 4D","BLUE","Rear",36364,12887,9280,1.8,"F",4,"Pure",3640,3000
"298","4T1BF1FK2GU135291",3600,2016,"TOYOTA","CAMRY","Camry LE","SEDAN 4D","BLACK","Rear",63612,14523,16883,2.5,"F",4,"Minimum",3168,3000
"299","5YFBURHE4GP442541",3600,2016,"TOYOTA","COROLLA","COROLLA L","SEDAN 4D","GRAY","Front",73137,12650,0,1.8,"F",4,"Minimum",3168,3000
"300","4T1BF1FK9GU198565",5500,2016,"TOYOTA","CAMRY","Camry LE","SEDAN 4D","SILVER","Front",23814,16469,19953,2.5,"F",4,"Pure",4112,3000
"301","2T1BURHE8GC717585",2700,2016,"TOYOTA","COROLLA","COROLLA L","SEDAN 4D","SILVER","Front",71161,11448,0,1.8,"F",4,"Approval",2721,3000
"302","4T1BF1FK1GU614172",4850,2016,"TOYOTA","CAMRY","Camry LE","SEDAN 4D","TAN","Front",35770,14952,15986,2.5,"F",4,"Minimum",3789,3000
"303","5YFBURHE2GP514031",4150,2016,"TOYOTA","COROLLA","COROLLA L","SEDAN 4D","WHITE","Front",53675,13542,9521,1.8,"F",4,"Pure",3441,3000
"304","4T1BK1EB3GU226065",9100,2016,"TOYOTA","AVALON","AVALON XLE","SEDAN 4D","WHITE","Front",80266,18955,27688,3.5,"F",6,"Pure",5900,3000
"305","4T1BF1FK1GU207484",6700,2016,"TOYOTA","CAMRY","Camry LE","SEDAN 4D","SILVER","Rear",39745,14019,4435,2.5,"F",4,"Pure",4708,3000
"306","4T1BF1FK7GU157383",6300,2016,"TOYOTA","CAMRY","Camry LE","SEDAN 4D","SILVER","Front",36452,14548,7293,2.5,"F",4,"Minimum",4509,3000
"307","2T1BURHE6GC487786",3050,2016,"TOYOTA","COROLLA","COROLLA L","SEDAN 4D","SILVER","Front",39159,11597,16237,1.8,"F",4,"Minimum",2895,3000
"308","2T1BURHE1GC498520",5000,2016,"TOYOTA","COROLLA","COROLLA L","SEDAN 4D","BLACK","Rear",81139,13887,8883,1.8,"F",4,"Minimum",3864,3000
"309","4T1BF1FK1GU595879",5600,2016,"TOYOTA","CAMRY","Camry LE","SEDAN 4D","RED","Front",51418,13114,11742,2.5,"F",4,"Pure",4162,3000
"310","5TDJKRFH3GS248105",14100,2016,"TOYOTA","HIGHLANDER","HIGHLANDER","4DR SPOR","BLUE","Front",60474,25091,0,3.5,"All",6,"Minimum",8384,3000
"311","2T1BURHE0GC602723",4750,2016,"TOYOTA","COROLLA","COROLLA L","SEDAN 4D","BROWN","Rear",46029,14461,12103,1.8,"F",4,"Pure",3739,3000
"312","4T1BF1FK9GU509394",2500,2016,"TOYOTA","CAMRY","Camry LE","SEDAN 4D","RED","Side",44500,16596,18127,2.5,"F",4,"Minimum",2622,3000
"313","5YFBURHEXGP563123",3150,2016,"TOYOTA","COROLLA","COROLLA L","SEDAN 4D","SILVER","Front",32706,13519,10173,1.8,"F",4,"Pure",2944,3000
"314","2T1BURHE8GC725296",4000,2016,"TOYOTA","COROLLA","COROLLA L","SEDAN 4D","RED","Front",36610,13999,10578,1.8,"F",4,"Minimum",3367,3000
"315","4T1BF1FK0GU194713",5800,2016,"TOYOTA","CAMRY","Camry LE","SEDAN 4D","BLACK","Wear",63579,19500,0,2.5,"F",4,"Minimum",4261,3000
"316","4T1BF1FKXGU555719",6800,2016,"TOYOTA","CAMRY","Camry LE","SEDAN 4D","SILVER","Rear",31784,16175,13068,2.5,"F",4,"Pure",4758,3000
"317","5YFBURHE6GP558856",4450,2016,"TOYOTA","COROLLA","COROLLA L","SEDAN 4D","BLACK","Front",30372,15386,11183,1.8,"F",4,"Pure",3590,3000
"318","5YFBURHE0GP545116",3250,2016,"TOYOTA","COROLLA","COROLLA L","SEDAN 4D","SILVER","Front",64822,10213,10101,1.8,"F",4,"Minimum",2994,3000
"319","4T1BF1FKXGU538161",4800,2016,"TOYOTA","CAMRY","Camry LE","SEDAN 4D","BLUE","Side",87316,12600,15125,2.5,"F",4,"Minimum",3764,3000
"320","4T4BF1FK2GR566090",4200,2016,"TOYOTA","CAMRY","Camry LE","SEDAN 4D","BLACK","Front",46540,9469,9615,2.5,"F",4,"Pure",3466,3000
"321","2T1BURHE5GC710304",3200,2016,"TOYOTA","COROLLA","COROLLA L","SEDAN 4D","WHITE","Front",89858,14000,0,1.8,"F",4,"Approval",2969,3000
"322","5YFBURHE4GP565465",3850,2016,"TOYOTA","COROLLA","COROLLA L","SEDAN 4D","WHITE","Front",36104,12731,10829,1.8,"F",4,"Minimum",3292,3000
"323","5YFBURHE6GP489506",5900,2016,"TOYOTA","COROLLA","COROLLA L","SEDAN 4D","WHITE","Rear",50597,13882,12293,1.8,"F",4,"Pure",4311,3000
"324","2T1BURHE2GC598724",3250,2016,"TOYOTA","COROLLA","COROLLA L","SEDAN 4D","RED","Rear",61670,11972,9707,1.8,"F",4,"Pure",2994,3000
"325","5YFBURHE5GP447473",3200,2016,"TOYOTA","COROLLA","COROLLA L","SEDAN 4D","GRAY","Front",57061,12252,6893,1.8,"F",4,"Minimum",2969,3000
"326","4T4BF1FK2GR518332",4900,2016,"TOYOTA","CAMRY","Camry LE","SEDAN 4D","SILVER","Front",49877,14030,23848,2.5,"F",4,"Approval",3814,3000
"327","2T1BURHE5GC730603",4100,2016,"TOYOTA","COROLLA","COROLLA L","SEDAN 4D","BLACK","Front",76382,15425,12532,1.8,"F",4,"Pure",3416,3000
"328","2T1BURHE4GC662181",3600,2016,"TOYOTA","COROLLA","COROLLA L","SEDAN 4D","SILVER","ALL OVER",134332,12500,0,1.8,"F",4,"Pure",3168,3000
"329","2T1BURHE9GC647871",3450,2016,"TOYOTA","COROLLA","COROLLA L","SEDAN 4D","BLUE","Side",37571,12730,13227,1.8,"F",4,"Pure",3093,3000
"330","5YFBURHE4HP679502",7500,2017,"TOYOTA","COROLLA","COROLLA L","SEDAN 4D","SILVER","Rear",21098,15883,12508,1.8,"F",4,"Pure",5106,3000
"331","2T1BURHE6HC837855",4750,2017,"TOYOTA","COROLLA","COROLLA L","SEDAN 4D","BLACK","Side",33445,14750,0,1.8,"F",4,"Minimum",3739,3000
"332","4T1BF1FK7HU308966",7100,2017,"TOYOTA","CAMRY","Camry LE","SEDAN 4D","BLUE","Rear",37053,17235,0,2.5,"F",4,"Pure",4907,3000
"333","4T1BF1FK5HU443718",5300,2017,"TOYOTA","CAMRY","Camry LE","SEDAN 4D","SILVER","Front",19209,16827,18796,2.5,"F",4,"Pure",4013,3000
"334","4T1BF1FK8HU776060",4950,2017,"TOYOTA","CAMRY","Camry LE","SEDAN 4D","WHITE","Front",44274,16030,19537,2.5,"F",4,"Minimum",3839,3000
"335","5YFBURHE5HP585144",4800,2017,"TOYOTA","COROLLA","COROLLA L","SEDAN 4D","WHITE","Rear",64647,11399,8682,1.8,"F",4,"Pure",3764,3000
"336","5YFBURHE8HP635504",3600,2017,"TOYOTA","COROLLA","COROLLA L","SEDAN 4D","RED","Rear",31817,12554,8804,1.8,"F",4,"Minimum",3168,3000
"337","5YFBURHE5HP606204",4900,2017,"TOYOTA","COROLLA","COROLLA L","SEDAN 4D","BLACK","Rear",49892,12363,10025,1.8,"F",4,"Minimum",3814,3000
"338","2T1BURHE0HC789768",6600,2017,"TOYOTA","COROLLA","COROLLA L","SEDAN 4D","BLACK","Rear",32172,10692,6254,1.8,"F",4,"Minimum",4658,3000
"339","4T1BF1FK3HU328079",5000,2017,"TOYOTA","CAMRY","Camry LE","SEDAN 4D","WHITE","Front",97283,21548,0,2.5,"F",4,"Minimum",3864,3000
"340","4T1BF1FK1HU453985",6900,2017,"TOYOTA","CAMRY","Camry LE","SEDAN 4D","SILVER","Front",50779,13569,14245,2.5,"F",4,"Pure",4807,3000
"341","4T1BK1EB8HU263677",7000,2017,"TOYOTA","AVALON","AVALON XLE","SEDAN 4D","BLUE","ALL OVER",11448,22350,14351,3.5,"F",6,"Minimum",4857,3000
"342","2T1BURHE5HC749816",5600,2017,"TOYOTA","COROLLA","COROLLA L","SEDAN 4D","SILVER","Front",31061,14779,14779,1.8,"F",4,"Minimum",4162,3000
"343","4T1BF1FK7HU319997",6300,2017,"TOYOTA","CAMRY","Camry LE","SEDAN 4D","SILVER","Front",43326,15510,14014,2.5,"F",4,"Pure",4509,3000
"344","5YFBURHE6HP672213",3700,2017,"TOYOTA","COROLLA","COROLLA L","SEDAN 4D","GRAY","Front",28160,14448,14131,1.8,"F",4,"Approval",3218,3000
"345","4T1BF1FK9HU815514",5800,2017,"TOYOTA","CAMRY","Camry LE","SEDAN 4D","BLACK","Front",100997,10906,15140,2.5,"F",4,"Pure",4261,3000
"346","2T1BURHE3HC762953",5300,2017,"TOYOTA","COROLLA","COROLLA L","SEDAN 4D","RED","Rear",33139,14249,14249,1.8,"F",4,"Minimum",4013,3000
"347","5YFBURHE1HP698248",4950,2017,"TOYOTA","COROLLA","COROLLA L","SEDAN 4D","RED","Front",29780,16118,0,1.8,"F",4,"Pure",3839,3000
"348","2T1BURHE8HC763502",4400,2017,"TOYOTA","COROLLA","COROLLA L","SEDAN 4D","RED","Front",42289,12946,12005,1.8,"F",4,"Pure",3565,3000
"349","4T1BF1FK3HU811250",6400,2017,"TOYOTA","CAMRY","Camry LE","SEDAN 4D","SILVER","Front",49692,14107,16995,2.5,"F",4,"Minimum",4559,3000
"350","4T1BF1FK3HU344556",6100,2017,"TOYOTA","CAMRY","Camry LE","SEDAN 4D","WHITE","ALL OVER",54138,16906,0,2.5,"F",4,"Approval",4410,3000
"351","4T1BF1FK5HU332554",4350,2017,"TOYOTA","CAMRY","Camry LE","SEDAN 4D","SILVER","Front",53364,15126,25773,2.5,"F",4,"Pure",3541,3000
"352","4T1BF1FK9HU351897",5400,2017,"TOYOTA","CAMRY","Camry LE","SEDAN 4D","BLACK","Front",125399,9774,6528,2.5,"F",4,"Minimum",4062,3000
"353","4T1BF1FK0HU617484",3000,2017,"TOYOTA","CAMRY","Camry LE","SEDAN 4D","BLUE","Front",73673,11518,23472,2.5,"F",4,"Pure",2870,3000
"354","4T1BF1FK4HU766299",3200,2017,"TOYOTA","CAMRY","Camry LE","SEDAN 4D","BLUE","Front",38231,16062,17467,2.5,"F",4,"Minimum",2969,3000
"355","4T1BF1FK2HU653483",6500,2017,"TOYOTA","CAMRY","Camry LE","SEDAN 4D","SILVER","Front",22415,16267,11012,2.5,"F",4,"Minimum",4609,3000
"356","4T1BF1FK9HU656543",7700,2017,"TOYOTA","CAMRY","Camry LE","SEDAN 4D","BLUE","Rear",47126,18352,7000,2.5,"F",4,"Minimum",5205,3000
"357","4T1BF1FKXHU421939",7700,2017,"TOYOTA","CAMRY","Camry LE","SEDAN 4D","WHITE","Front",50477,17099,17099,2.5,"F",4,"Minimum",5205,3000
"358","2T1BURHE3HC750236",3400,2017,"TOYOTA","COROLLA","COROLLA L","SEDAN 4D","BLUE","Front",61557,14416,11618,1.8,"F",4,"Minimum",3069,3000
"359","4T1BF1FK5HU316256",6600,2017,"TOYOTA","CAMRY","Camry LE","SEDAN 4D","SILVER","Rear",65503,16008,7006,2.5,"F",4,"Pure",4658,3000
"360","5YFBURHE9HP659780",4700,2017,"TOYOTA","COROLLA","COROLLA L","SEDAN 4D","WHITE","Front",55900,12693,0,1.8,"F",4,"Pure",3714,3000
"361","4T1BK1FK6HU578668",9300,2017,"TOYOTA","CAMRY","Camry XSE","SEDAN 4D","BLACK","Side",29338,20035,10589,3.5,"F",6,"Pure",6000,3000
"362","5YFBURHE2HP585490",3550,2017,"TOYOTA","COROLLA","COROLLA L","SEDAN 4D","BLACK","Front",101906,9346,9887,1.8,"F",4,"Minimum",3143,3000
"363","4T1BF1FK7HU340817",4700,2017,"TOYOTA","CAMRY","Camry LE","SEDAN 4D","BLACK","Rear",53921,14323,14148,2.5,"F",4,"Minimum",3714,3000
"364","2T1BURHEXHC894883",4850,2017,"TOYOTA","COROLLA","COROLLA L","SEDAN 4D","BLUE","Front",24141,17075,12732,1.8,"F",4,"Pure",3789,3000
"365","2T1BURHE2HC748395",4050,2017,"TOYOTA","COROLLA","COROLLA L","SEDAN 4D","RED","Front",54411,12328,13411,1.8,"F",4,"Minimum",3392,3000
"366","3MYDLBYV5HY187825",4100,2017,"TOYOTA","YARIS","YARIS IA","SEDAN 4D","WHITE","Rear",20004,12617,9642,1.5,"F",4,"Pure",3416,3000
"367","4T1BF1FK4HU343965",7100,2017,"TOYOTA","CAMRY","Camry LE","SEDAN 4D","WHITE","Front",37556,14080,11642,2.5,"F",4,"Pure",4907,3000
"368","2T1BURHE9HC784066",3850,2017,"TOYOTA","COROLLA","COROLLA L","SEDAN 4D","RED","Front",26027,13637,0,1.8,"F",4,"Minimum",3292,3000
"369","2T1BURHEXHC909074",3300,2017,"TOYOTA","COROLLA","COROLLA L","SEDAN 4D","BLUE","Front",72177,12900,0,1.8,"F",4,"Minimum",3019,3000
"370","4T1BF1FK4HU651041",5900,2017,"TOYOTA","CAMRY","Camry LE","SEDAN 4D","BLACK","Side",52412,9274,0,2.5,"F",4,"Pure",4311,3000
"371","4T1BF1FK2HU806461",4450,2017,"TOYOTA","CAMRY","Camry LE","SEDAN 4D","BLUE","Front",22161,16964,20171,2.5,"F",4,"Pure",3590,3000
"372","4T1BF1FK3HU716963",6700,2017,"TOYOTA","CAMRY","Camry LE","SEDAN 4D","SILVER","Front",25572,17438,0,2.5,"F",4,"Minimum",4708,3000
"373","2T1BURHE8HC897474",2500,2017,"TOYOTA","COROLLA","COROLLA L","SEDAN 4D","RED","Front",14819,14022,11813,1.8,"F",4,"Pure",2622,3000
"374","2T1BURHE4HC768311",5200,2017,"TOYOTA","COROLLA","COROLLA L","SEDAN 4D","BLUE","Rear",29772,16332,13202,1.8,"F",4,"Minimum",3963,3000
"375","2T1BURHE9HC802839",4850,2017,"TOYOTA","COROLLA","COROLLA L","SEDAN 4D","BLACK","Front",27476,15942,0,1.8,"F",4,"Pure",3789,3000
"376","4T1BF1FK6HU629462",6400,2017,"TOYOTA","CAMRY","Camry LE","SEDAN 4D","SILVER","Front",49331,18240,0,2.5,"F",4,"Minimum",4559,3000
"377","4T1BF1FK0HU696414",6300,2017,"TOYOTA","CAMRY","Camry LE","SEDAN 4D","RED","Front",30786,18126,0,2.5,"F",4,"Minimum",4509,3000
"378","4T1BF1FK5HU767123",4850,2017,"TOYOTA","CAMRY","Camry LE","SEDAN 4D","WHITE","Rear",34185,17373,12931,2.5,"F",4,"Pure",3789,3000
"379","4T1BF1FK0HU341338",5700,2017,"TOYOTA","CAMRY","Camry LE","SEDAN 4D","SILVER","Front",38057,14032,9781,2.5,"F",4,"Minimum",4211,3000
"380","5YFBURHE3HP725868",4000,2017,"TOYOTA","COROLLA","COROLLA L","SEDAN 4D","GRAY","Rear",32135,15835,8998,1.8,"F",4,"Pure",3367,3000
"381","5YFBURHE1HP682387",4950,2017,"TOYOTA","COROLLA","COROLLA L","SEDAN 4D","RED","Rear",16532,14288,10415,1.8,"F",4,"Minimum",3839,3000
"382","4T1BF1FK9HU454933",4650,2017,"TOYOTA","CAMRY","Camry LE","SEDAN 4D","WHITE","Front",11296,18233,15147,2.5,"F",4,"Approval",3690,3000
"383","4T1BF1FK2HU336237",6600,2017,"TOYOTA","CAMRY","Camry LE","SEDAN 4D","WHITE","Front",30494,16938,19754,2.5,"F",4,"Pure",4658,3000
"384","5YFBURHE7HP581340",4050,2017,"TOYOTA","COROLLA","COROLLA L","SEDAN 4D","WHITE","Front",31815,13000,6936,1.8,"F",4,"Minimum",3392,3000
"385","2T1BURHE0HC848155",4650,2017,"TOYOTA","COROLLA","COROLLA L","SEDAN 4D","WHITE","Front",12775,14329,10591,1.8,"F",4,"Minimum",3690,3000
"386","4T1BF1FK6HU334488",7600,2017,"TOYOTA","CAMRY","Camry LE","SEDAN 4D","WHITE","Front",51495,13317,12254,2.5,"F",4,"Pure",5155,3000
"387","4T1BF1FK8HU772025",5600,2017,"TOYOTA","CAMRY","Camry LE","SEDAN 4D","BLACK","Front",48555,16239,13898,2.5,"F",4,"Pure",4162,3000
"388","5YFBURHE8HP737725",3750,2017,"TOYOTA","COROLLA","COROLLA L","SEDAN 4D","SILVER","Front",24776,12885,13047,1.8,"F",4,"Minimum",3243,3000
"389","2T1BURHE8HC829918",6400,2017,"TOYOTA","COROLLA","COROLLA L","SEDAN 4D","RED","Wear",48920,18500,0,1.8,"F",4,"Approval",4559,3000
"390","5YFBURHE5HP730294",6900,2017,"TOYOTA","COROLLA","COROLLA L","SEDAN 4D","SILVER","Rear",21813,13463,0,1.8,"F",4,"Minimum",4807,3000
"391","2T1BURHE4HC760161",3700,2017,"TOYOTA","COROLLA","COROLLA L","SEDAN 4D","BLACK","Side",59412,11112,8545,1.8,"F",4,"Minimum",3218,3000
"392","5YFBURHE8HP679597",5600,2017,"TOYOTA","COROLLA","COROLLA L","SEDAN 4D","BLUE","Side",28308,15320,0,1.8,"F",4,"Minimum",4162,3000
"393","5YFBURHE4HP735700",4750,2017,"TOYOTA","COROLLA","COROLLA L","SEDAN 4D","BURGUNDY","Rear",15356,14806,7796,1.8,"F",4,"Minimum",3739,3000
"394","2T1BURHE8HC824931",4250,2017,"TOYOTA","COROLLA","COROLLA L","SEDAN 4D","BLUE","Front",12447,16311,11409,1.8,"F",4,"Pure",3491,3000
"395","4T1BF1FK8HU388102",5300,2017,"TOYOTA","CAMRY","Camry LE","SEDAN 4D","SILVER","Front",58065,15925,21029,2.5,"F",4,"Pure",4013,3000
"396","4T1BK1EBXHU243284",8300,2017,"TOYOTA","AVALON","AVALON XLE","SEDAN 4D","SILVER","Rear",22829,32521,0,3.5,"F",6,"Approval",5503,3000
"397","4T1BF1FK2HU689285",4800,2017,"TOYOTA","CAMRY","Camry LE","SEDAN 4D","GRAY","Front",29802,24961,0,2.5,"F",4,"Approval",3764,3000
"398","4T1BF1FK5HU814120",5800,2017,"TOYOTA","CAMRY","Camry LE","SEDAN 4D","GRAY","Side",47098,14326,6593,2.5,"F",4,"Minimum",4261,3000
"399","3VW267AJ4GM302550",1950,2016,"VOLKSWAGEN","JETTA","JETTA S","SEDAN 4D","GRAY","Front",27136,11621,0,1.4,"F",4,"Minimum",2348,3000
"400","3VWD67AJ4GM316554",2750,2016,"VOLKSWAGEN","JETTA","JETTA SE","SEDAN 4D","BLACK","Front",50444,12675,0,1.4,"F",4,"Minimum",2746,3000
"401","3VWD67AJ8GM244418",4050,2016,"VOLKSWAGEN","JETTA","JETTA SE","SEDAN 4D","GRAY","Minor",81471,16800,0,1.4,"F",4,"Minimum",3392,3000
"402","3VW267AJ9GM311356",2950,2016,"VOLKSWAGEN","JETTA","JETTA S","SEDAN 4D","SILVER","Rear",16422,12090,3875,1.4,"F",4,"Pure",2845,3000
"403","3VWL07AJ5GM336051",3750,2016,"VOLKSWAGEN","JETTA","JETTA SEL","SEDAN 4D","BLACK","Front",15725,16016,13332,1.8,"F",4,"Minimum",3243,3000
"404","3VWD17AJ0GM348433",2100,2016,"VOLKSWAGEN","JETTA","JETTA SPOR","SEDAN 4D","WHITE","Front",96339,10136,6082,1.8,"F",4,"Pure",2423,3000
"405","1VWAS7A36GC024955",3850,2016,"VOLKSWAGEN","PASSAT","PASSAT S","SEDAN 4D","BLUE","Rear",30293,12737,11076,1.8,"F",4,"Approval",3292,3000
"406","1VWBT7A34GC020193",5800,2016,"VOLKSWAGEN","PASSAT","PASSAT SE","SEDAN 4D","GRAY","Front",28074,15723,8368,1.8,"F",4,"Minimum",4261,3000
"407","3VW267AJ1GM386990",1350,2016,"VOLKSWAGEN","JETTA","JETTA S","SEDAN 4D","GRAY","Front",62408,9789,10953,1.4,"F",4,"Minimum",2050,3000
"408","3VW267AJXGM208494",1950,2016,"VOLKSWAGEN","JETTA","JETTA S","SEDAN 4D","WHITE","Front",31115,11173,10014,1.4,"F",4,"Pure",2348,3000
"409","3VWL17AJ8HM297258",3900,2017,"VOLKSWAGEN","JETTA","JETTA SEL","SEDAN 4D","BLACK","Front",46333,13386,9291,1.8,"F",4,"Pure",3317,3000
"410","3VWL17AJ2HM364002",4250,2017,"VOLKSWAGEN","JETTA","JETTA SEL","SEDAN 4D","BLACK","Wear",25114,15727,12907,1.8,"F",4,"Pure",3491,3000
