"","VIN","Price","Year","Make","Model.Group","Model.Detail","Body.Style","Color","Damage.Description","Odometer","Est..Retail.Value","Repair.cost","Engine","Drive","Cylinders","Sale.Status"
"599","2T3ZFREV6HW389992",6800,2017,"TOYOTA","RAV4 LE","RAV4 LE","4DR SPOR","SILVER","Front",23474,18976,15241,2.5,"F",4,"Minimum"
"600","19XFC2F55HE021297",2750,2017,"HONDA","CIVIC LX","CIVIC LX","SEDAN 4D","BLUE","Front",20544,15871,10685,2,"F",4,"Pure"
"601","4T1BF1FK3HU811250",6400,2017,"TOYOTA","CAMRY","Camry LE","SEDAN 4D","SILVER","Front",49692,14107,16995,2.5,"F",4,"Minimum"
"602","5TDKZ3DC3HS815161",4550,2017,"TOYOTA","SIENNA LE","SIENNA LE","SPORTS V","RED","ALL OVER",21753,22006,0,3.5,"F",6,"Pure"
"603","1HGCR2F50HA232834",5800,2017,"HONDA","ACCORD SPO","ACCORD SPO","SEDAN 4D","SILVER","Front",58013,15954,15129,2.4,"F",4,"Pure"
"604","4T1BF1FK3HU344556",6100,2017,"TOYOTA","CAMRY","Camry LE","SEDAN 4D","WHITE","ALL OVER",54138,16906,0,2.5,"F",4,"Approval"
"605","1N4AA6AP2HC364713",1950,2017,"NISSAN","MAXIMA","MAXIMA 3.5","SEDAN 4D","BLACK","ROLLOVER",62727,17783,18395,3.5,"F",6,"Pure"
"606","4T1BF1FK5HU332554",4350,2017,"TOYOTA","CAMRY","Camry LE","SEDAN 4D","SILVER","Front",53364,15126,25773,2.5,"F",4,"Pure"
"607","4T1BF1FK9HU351897",5400,2017,"TOYOTA","CAMRY","Camry LE","SEDAN 4D","BLACK","Front",125399,9774,6528,2.5,"F",4,"Minimum"
"608","4T1BF1FK0HU617484",3000,2017,"TOYOTA","CAMRY","Camry LE","SEDAN 4D","BLUE","Front",73673,11518,23472,2.5,"F",4,"Pure"
"609","4T1BF1FK4HU766299",3200,2017,"TOYOTA","CAMRY","Camry LE","SEDAN 4D","BLUE","Front",38231,16062,17467,2.5,"F",4,"Minimum"
"610","2HGFC2F75HH567721",3900,2017,"HONDA","CIVIC","CIVIC EX","SEDAN 4D","RED","Side",17884,16832,12798,2,"F",4,"Minimum"
"611","5TDYZ3DC3HS892431",14700,2017,"TOYOTA","SIENNA XLE","SIENNA XLE","SPORTS V","BLACK","Rear",24910,26408,17139,3.5,"F",6,"Minimum"
"612","4T1BF1FK2HU653483",6500,2017,"TOYOTA","CAMRY","Camry LE","SEDAN 4D","SILVER","Front",22415,16267,11012,2.5,"F",4,"Minimum"
"613","4T1BF1FK9HU656543",7700,2017,"TOYOTA","CAMRY","Camry LE","SEDAN 4D","BLUE","Rear",47126,18352,7000,2.5,"F",4,"Minimum"
"614","JTMBFREV4HJ123905",7300,2017,"TOYOTA","RAV4 LE","RAV4 LE","4DR SPOR","WHITE","Rear",31528,20417,13472,2.5,"All",4,"Minimum"
"615","4T1BF1FKXHU421939",7700,2017,"TOYOTA","CAMRY","Camry LE","SEDAN 4D","WHITE","Front",50477,17099,17099,2.5,"F",4,"Minimum"
"616","1HGCR2F14HA231683",8100,2017,"HONDA","ACCORD SPO","ACCORD SPO","SEDAN 4D","WHITE","Rear",54187,16966,0,2.4,"F",4,"Pure"
"617","2T1BURHE3HC750236",3400,2017,"TOYOTA","COROLLA","COROLLA L","SEDAN 4D","BLUE","Front",61557,14416,11618,1.8,"F",4,"Minimum"
"618","4T1BF1FK5HU316256",6600,2017,"TOYOTA","CAMRY","Camry LE","SEDAN 4D","SILVER","Rear",65503,16008,7006,2.5,"F",4,"Pure"
"619","5TFRX5GN8HX079406",5500,2017,"TOYOTA","TACOMA ACC","TACOMA ACC","CLUB CAB","GRAY","Front",81489,18574,9496,2.7,"R",4,"Pure"
"620","5YFBURHE9HP659780",4700,2017,"TOYOTA","COROLLA","COROLLA L","SEDAN 4D","WHITE","Front",55900,12693,0,1.8,"F",4,"Pure"
"621","2T3WFREV8HW396428",10400,2017,"TOYOTA","RAV4 XLE","RAV4 XLE","4DR SPOR","GRAY","Rear",23417,21735,0,2.5,"F",4,"Pure"
"622","1HGCR2F57HA005723",3250,2017,"HONDA","ACCORD SPO","ACCORD SPO","SEDAN 4D","WHITE","Side",26185,18745,16445,2.4,"F",4,"Minimum"
"623","4T1BK1FK6HU578668",9300,2017,"TOYOTA","CAMRY","Camry XSE","SEDAN 4D","BLACK","Side",29338,20035,10589,3.5,"F",6,"Pure"
"624","JTJHY7AX1H4237095",33250,2017,"LEXUS","LX 570","LX 570","4DR SPOR","WHITE","Side",18034,88153,23156,5.7,"All",8,"Minimum"
"625","19XFC2F54HE053044",3100,2017,"HONDA","CIVIC LX","CIVIC LX","SEDAN 4D","GRAY","Side",26445,15445,12890,2,"F",4,"Minimum"
"626","WBA8E1G57HNU13301",7750,2017,"BMW","3 SERIES","320 I","SEDAN 4D","BLACK","Front",38660,19545,20189,2,"R",4,"Minimum"
"627","5YFBURHE2HP585490",3550,2017,"TOYOTA","COROLLA","COROLLA L","SEDAN 4D","BLACK","Front",101906,9346,9887,1.8,"F",4,"Minimum"
"628","19XFC2F79HE048018",3800,2017,"HONDA","CIVIC","CIVIC EX","SEDAN 4D","BLACK","ALL OVER",27181,17073,14980,2,"F",4,"Minimum"
"629","4T1BF1FK7HU340817",4700,2017,"TOYOTA","CAMRY","Camry LE","SEDAN 4D","BLACK","Rear",53921,14323,14148,2.5,"F",4,"Minimum"
"630","2T1BURHEXHC894883",4850,2017,"TOYOTA","COROLLA","COROLLA L","SEDAN 4D","BLUE","Front",24141,17075,12732,1.8,"F",4,"Pure"
"631","1HGCR2F14HA083888",6600,2017,"HONDA","ACCORD SPO","ACCORD SPO","SEDAN 4D","GRAY","Front",38486,16755,14450,2.4,"F",4,"Minimum"
"632","2T1BURHE2HC748395",4050,2017,"TOYOTA","COROLLA","COROLLA L","SEDAN 4D","RED","Front",54411,12328,13411,1.8,"F",4,"Minimum"
"633","5J8TB3H78HL007719",5800,2017,"ACURA","RDX ADVANC","RDX ADVANC","4DR SPOR","GRAY","Front",39137,30686,20768,3.5,"F",6,"Pure"
"634","19UDE2F38HA013750",3350,2017,"ACURA","ILX","ILX BASE","SEDAN 4D","BLUE","Front",5587,20807,0,2.4,"F",4,"Pure"
"635","JTMZFREV2HD094112",6200,2017,"TOYOTA","RAV4 LE","RAV4 LE","4DR SPOR","WHITE","Rear",30778,18815,0,2.5,"F",4,"Minimum"
"636","3MYDLBYV5HY187825",4100,2017,"TOYOTA","YARIS","YARIS IA","SEDAN 4D","WHITE","Rear",20004,12617,9642,1.5,"F",4,"Pure"
"637","JTHBA1D25H5059971",10400,2017,"LEXUS","IS","IS 200T","SEDAN 4D","WHITE","Rear",43663,23904,15941,2,"R",4,"Minimum"
"638","5UXKR0C58H0V65435",17600,2017,"BMW","X5 XDRIVE3","X5 XDRIVE3","4DR SPOR","GRAY","Front",32115,46687,0,3,"All",6,"Minimum"
"639","2T3RFREV7HW556540",12000,2017,"TOYOTA","RAV4 XLE","RAV4 XLE","4DR SPOR","WHITE","Front",25622,21732,16605,2.5,"All",4,"Minimum"
"640","1HGCT1B73HA002370",4600,2017,"HONDA","ACCORD EX","ACCORD EX","COUPE","CHARCOAL","Front",44965,16696,10830,2.4,"F",4,"Minimum"
"641","4T1BF1FK4HU343965",7100,2017,"TOYOTA","CAMRY","Camry LE","SEDAN 4D","WHITE","Front",37556,14080,11642,2.5,"F",4,"Pure"
"642","JTJHY7AXXH4241145",43250,2017,"LEXUS","LX 570","LX 570","4DR SPOR","WHITE","Front",21500,72663,61608,5.7,"All",8,"Minimum"
"643","2T1BURHE9HC784066",3850,2017,"TOYOTA","COROLLA","COROLLA L","SEDAN 4D","RED","Front",26027,13637,0,1.8,"F",4,"Minimum"
"644","19XFC2F73HE004998",3700,2017,"HONDA","CIVIC","CIVIC EX","SEDAN 4D","GRAY","Front",40153,14733,0,2,"F",4,"Minimum"
"645","1HGCR2F80HA254987",6100,2017,"HONDA","ACCORD EXL","ACCORD EXL","SEDAN 4D","SILVER","Front",25207,20549,0,2.4,"F",4,"Minimum"
"646","2T1BURHEXHC909074",3300,2017,"TOYOTA","COROLLA","COROLLA L","SEDAN 4D","BLUE","Front",72177,12900,0,1.8,"F",4,"Minimum"
"647","4T1BF1FK4HU651041",5900,2017,"TOYOTA","CAMRY","Camry LE","SEDAN 4D","BLACK","Side",52412,9274,0,2.5,"F",4,"Pure"
"648","4T1BF1FK2HU806461",4450,2017,"TOYOTA","CAMRY","Camry LE","SEDAN 4D","BLUE","Front",22161,16964,20171,2.5,"F",4,"Pure"
"649","2T3BFREV3HW580285",7300,2017,"TOYOTA","RAV4 LE","RAV4 LE","4DR SPOR","BLACK","Front",24871,19933,15594,2.5,"All",4,"Pure"
"650","4T1BF1FK3HU716963",6700,2017,"TOYOTA","CAMRY","Camry LE","SEDAN 4D","SILVER","Front",25572,17438,0,2.5,"F",4,"Minimum"
"651","19XFC1F38HE008021",4050,2017,"HONDA","CIVIC","CIVIC EX","SEDAN 4D","WHITE","Front",35275,14554,8783,1.5,"F",4,"Pure"
"652","1HGCR2F37HA042401",5100,2017,"HONDA","ACCORD LX","ACCORD LX","SEDAN 4D","MAROON","Side",27865,18115,14157,2.4,"F",4,"Pure"
"653","1N4AA6AP0HC378514",7100,2017,"NISSAN","MAXIMA","MAXIMA 3.5","SEDAN 4D","BURGUNDY","Front",47321,23676,16491,3.5,"F",6,"Minimum"
"654","2T1BURHE8HC897474",2500,2017,"TOYOTA","COROLLA","COROLLA L","SEDAN 4D","RED","Front",14819,14022,11813,1.8,"F",4,"Pure"
"655","JTMRFREV6HD199669",8600,2017,"TOYOTA","RAV4 XLE","RAV4 XLE","4DR SPOR","CHARCOAL","ROLLOVER",28853,20831,18678,2.5,"All",4,"Minimum"
"656","5UXWX9C58H0T02955",6300,2017,"BMW","X3","X3 XDRIVE2","4DR SPOR","BEIGE","Side",28739,28629,23045,2,"All",4,"Pure"
"657","2T1BURHE4HC768311",5200,2017,"TOYOTA","COROLLA","COROLLA L","SEDAN 4D","BLUE","Rear",29772,16332,13202,1.8,"F",4,"Minimum"
"658","WBA8A9C57HK619817",3750,2017,"BMW","3 SERIES","320 I","SEDAN 4D","BLACK","Front",44815,19552,12752,2,"R",4,"Minimum"
"659","4JGDA5JBXHA964098",23500,2017,"MERCEDES-BENZ","GLE 350","GLE 350","4DR SPOR","BLACK","Front",25182,39446,26474,3.5,"R",6,"Minimum"
"660","2T3ZFREV7HW398202",6300,2017,"TOYOTA","RAV4 LE","RAV4 LE","4DR SPOR","GRAY","Front",52402,16525,0,2.5,"F",4,"Minimum"
"661","2HGFC2F50HH514729",4100,2017,"HONDA","CIVIC LX","CIVIC LX","SEDAN 4D","BLACK","Front",26457,16255,92637,2,"F",4,"Pure"
"662","JTMZFREV4HJ148124",6800,2017,"TOYOTA","RAV4 LE","RAV4 LE","4DR SPOR","RED","Rear",50481,19257,0,2.5,"F",4,"Pure"
"663","2T1BURHE9HC802839",4850,2017,"TOYOTA","COROLLA","COROLLA L","SEDAN 4D","BLACK","Front",27476,15942,0,1.8,"F",4,"Pure"
"664","4T1BF1FK6HU629462",6400,2017,"TOYOTA","CAMRY","Camry LE","SEDAN 4D","SILVER","Front",49331,18240,0,2.5,"F",4,"Minimum"
"665","4T1BF1FK0HU696414",6300,2017,"TOYOTA","CAMRY","Camry LE","SEDAN 4D","RED","Front",30786,18126,0,2.5,"F",4,"Minimum"
"666","JTMNFREV6HD101691",10100,2017,"TOYOTA","RAV4 SE","RAV4 SE","4DR SPOR","SILVER","Front",45905,20408,16846,2.5,"F",4,"Pure"
"667","2T3ZFREV6HW322440",5000,2017,"TOYOTA","RAV4 LE","RAV4 LE","4DR SPOR","BLACK","Front",90869,14111,25138,2.5,"F",4,"Pure"
"668","4T1BF1FK5HU767123",4850,2017,"TOYOTA","CAMRY","Camry LE","SEDAN 4D","WHITE","Rear",34185,17373,12931,2.5,"F",4,"Pure"
"669","4T1BF1FK0HU341338",5700,2017,"TOYOTA","CAMRY","Camry LE","SEDAN 4D","SILVER","Front",38057,14032,9781,2.5,"F",4,"Minimum"
"670","JN1AZ4EH5HM954296",3700,2017,"NISSAN","370Z","370Z BASE","COUPE","WHITE","Side",18032,23108,22530,3.7,"R",6,"Pure"
"671","3CZRU5H37HM704514",4850,2017,"HONDA","HR-V LX","HR-V LX","4DR SPOR","GREEN","Front",8891,20140,0,1.8,"F",4,"Minimum"
"672","JTMZFREV8HJ720280",7400,2017,"TOYOTA","RAV4 LE","RAV4 LE","4DR SPOR","WHITE","Front",23380,18365,0,2.5,"F",4,"Minimum"
"673","2T3ZFREV0HW366174",8300,2017,"TOYOTA","RAV4 LE","RAV4 LE","4DR SPOR","PURPLE","Front",17637,19639,0,2.5,"F",4,"Minimum"
"674","5YFBURHE3HP725868",4000,2017,"TOYOTA","COROLLA","COROLLA L","SEDAN 4D","GRAY","Rear",32135,15835,8998,1.8,"F",4,"Pure"
"675","5YFBURHE1HP682387",4950,2017,"TOYOTA","COROLLA","COROLLA L","SEDAN 4D","RED","Rear",16532,14288,10415,1.8,"F",4,"Minimum"
"676","4T1BF1FK9HU454933",4650,2017,"TOYOTA","CAMRY","Camry LE","SEDAN 4D","WHITE","Front",11296,18233,15147,2.5,"F",4,"Approval"
"677","2T3ZFREV2HW376513",5100,2017,"TOYOTA","RAV4 LE","RAV4 LE","4DR SPOR","BLUE","Front",20833,19568,13350,2.5,"F",4,"Minimum"
"678","19XFC2F77HE039026",4900,2017,"HONDA","CIVIC","CIVIC EX","SEDAN 4D","SILVER","Rear",25172,17596,0,2,"F",4,"Pure"
"679","4T1BF1FK2HU336237",6600,2017,"TOYOTA","CAMRY","Camry LE","SEDAN 4D","WHITE","Front",30494,16938,19754,2.5,"F",4,"Pure"
"680","19XFC2F54HE049205",2750,2017,"HONDA","CIVIC LX","CIVIC LX","SEDAN 4D","WHITE","Front",36075,15352,10571,2,"F",4,"Minimum"
"681","3CZRU5H39HM720617",3950,2017,"HONDA","HR-V LX","HR-V LX","4DR SPOR","BLUE","Side",30754,16790,11565,1.8,"F",4,"Pure"
"682","WVGBV7AX8HK021009",4750,2017,"VOLKSWAGEN","TIGUAN S","TIGUAN S","4DR SPOR","WHITE","Side",36874,14948,13905,2,"All",4,"Pure"
"683","19XFC2F76HE022752",3700,2017,"HONDA","CIVIC","CIVIC EX","SEDAN 4D","GRAY","Rear",19069,18925,11458,2,"F",4,"Minimum"
"684","19XFC2F72HE064870",3750,2017,"HONDA","CIVIC","CIVIC EX","SEDAN 4D","SILVER","Side",14780,19858,19858,2,"F",4,"Minimum"
"685","5FRYD4H58HB017056",12100,2017,"ACURA","MDX","MDX TECHNO","4DR SPOR","BLACK","Side",42684,34820,27617,3.5,"All",6,"Pure"
"686","2T3DFREV0HW603448",10200,2017,"TOYOTA","RAV4 LIMIT","RAV4 LIMIT","4DR SPOR","BLACK","Rear",18372,25914,19026,2.5,"All",4,"Pure"
"687","3VWL17AJ8HM297258",3900,2017,"VOLKSWAGEN","JETTA","JETTA SEL","SEDAN 4D","BLACK","Front",46333,13386,9291,1.8,"F",4,"Pure"
"688","19XFC2F71HE011187",6100,2017,"HONDA","CIVIC","CIVIC EX","SEDAN 4D","CHARCOAL","Rear",34237,15649,11437,2,"F",4,"Minimum"
"689","1HGCR2F32HA047084",3900,2017,"HONDA","ACCORD LX","ACCORD LX","SEDAN 4D","BLUE","Front",88643,14047,8307,2.4,"F",4,"Pure"
"690","5YFBURHE7HP581340",4050,2017,"TOYOTA","COROLLA","COROLLA L","SEDAN 4D","WHITE","Front",31815,13000,6936,1.8,"F",4,"Minimum"
"691","2T1BURHE0HC848155",4650,2017,"TOYOTA","COROLLA","COROLLA L","SEDAN 4D","WHITE","Front",12775,14329,10591,1.8,"F",4,"Minimum"
"692","4T1BF1FK6HU334488",7600,2017,"TOYOTA","CAMRY","Camry LE","SEDAN 4D","WHITE","Front",51495,13317,12254,2.5,"F",4,"Pure"
"693","WBA8B3G50HNU35192",13100,2017,"BMW","3 SERIES","340 I","SEDAN 4D","WHITE","Front",17434,35918,0,3,"R",6,"Pure"
"694","2HGFC2F50HH544992",4200,2017,"HONDA","CIVIC LX","CIVIC LX","SEDAN 4D","GRAY","Front",58326,14025,10222,2,"F",4,"Minimum"
"695","19XFC1F38HE214746",6700,2017,"HONDA","CIVIC","CIVIC EX","SEDAN 4D","WHITE","Front",31228,18374,14689,1.5,"F",4,"Minimum"
"696","4T1BF1FK8HU772025",5600,2017,"TOYOTA","CAMRY","Camry LE","SEDAN 4D","BLACK","Front",48555,16239,13898,2.5,"F",4,"Pure"
"697","5YFBURHE8HP737725",3750,2017,"TOYOTA","COROLLA","COROLLA L","SEDAN 4D","SILVER","Front",24776,12885,13047,1.8,"F",4,"Minimum"
"698","WBXHT3C38H5F81284",10300,2017,"BMW","X1 XDRIVE2","X1 XDRIVE2","4DR SPOR","SILVER","Side",12808,29737,21902,2,"All",4,"Minimum"
"699","1HGCR2F10HA157713",4600,2017,"HONDA","ACCORD SPO","ACCORD SPO","SEDAN 4D","RED","Side",33779,18673,15178,2.4,"F",4,"Approval"
"700","2T1BURHE8HC829918",6400,2017,"TOYOTA","COROLLA","COROLLA L","SEDAN 4D","RED","Wear",48920,18500,0,1.8,"F",4,"Approval"
"701","5YFBURHE5HP730294",6900,2017,"TOYOTA","COROLLA","COROLLA L","SEDAN 4D","SILVER","Rear",21813,13463,0,1.8,"F",4,"Minimum"
"702","2T3DFREV4HW576058",10200,2017,"TOYOTA","RAV4 LIMIT","RAV4 LIMIT","4DR SPOR","WHITE","Rear",37038,25417,22577,2.5,"All",4,"Minimum"
"703","2T1BURHE4HC760161",3700,2017,"TOYOTA","COROLLA","COROLLA L","SEDAN 4D","BLACK","Side",59412,11112,8545,1.8,"F",4,"Minimum"
"704","1HGCR2F52HA102019",3450,2017,"HONDA","ACCORD SPO","ACCORD SPO","SEDAN 4D","MAROON","Front",51678,17838,0,2.4,"F",4,"Minimum"
"705","5YFBURHE8HP679597",5600,2017,"TOYOTA","COROLLA","COROLLA L","SEDAN 4D","BLUE","Side",28308,15320,0,1.8,"F",4,"Minimum"
"706","2HGFC2F73HH552134",3700,2017,"HONDA","CIVIC","CIVIC EX","SEDAN 4D","SILVER","Front",28096,18640,17732,2,"F",4,"Minimum"
"707","1HGCR3F81HA011288",5600,2017,"HONDA","ACCORD EXL","ACCORD EXL","SEDAN 4D","BLACK","Front",27313,21921,17375,3.5,"F",6,"Minimum"
"708","JF1ZNAA17H8702292",5700,2017,"TOYOTA","86 BASE","86 BASE","COUPE","SILVER","Front",18641,21268,0,2,"R",4,"Pure"
"709","WDDKJ6FB7HF362343",9900,2017,"MERCEDES-BENZ","E CLASS","E 400","COUPE","BLUE","Front",6206,39976,23556,3,"R",6,"Approval"
"710","JTMRFREV7HJ113111",9000,2017,"TOYOTA","RAV4 XLE","RAV4 XLE","4DR SPOR","RED","Side",32999,22004,23221,2.5,"All",4,"Minimum"
"711","19XFC2F53HE074919",4400,2017,"HONDA","CIVIC LX","CIVIC LX","SEDAN 4D","WHITE","Front",22967,15954,16626,2,"F",4,"Pure"
"712","3VWL17AJ2HM364002",4250,2017,"VOLKSWAGEN","JETTA","JETTA SEL","SEDAN 4D","BLACK","Wear",25114,15727,12907,1.8,"F",4,"Pure"
"713","19UUB1F56HA011015",3700,2017,"ACURA","TLX","TLX TECH","SEDAN 4D","GRAY","Front",29656,22448,17924,2.4,"F",4,"Pure"
"714","5YFBURHE4HP735700",4750,2017,"TOYOTA","COROLLA","COROLLA L","SEDAN 4D","BURGUNDY","Rear",15356,14806,7796,1.8,"F",4,"Minimum"
"715","1HGCR3F96HA018214",6800,2017,"HONDA","ACCORD","ACCORD TOU","SEDAN 4D","BLACK","Front",34510,23015,18000,3.5,"F",6,"Pure"
"716","5TDYZ3DC1HS791324",8300,2017,"TOYOTA","SIENNA XLE","SIENNA XLE","SPORTS V","BLACK","Side",49769,27491,20566,3.5,"F",6,"Minimum"
"717","1HGCR2F33HA229327",5400,2017,"HONDA","ACCORD LX","ACCORD LX","SEDAN 4D","CHARCOAL","Under",23441,16431,11072,2.4,"F",4,"Minimum"
"718","2T1BURHE8HC824931",4250,2017,"TOYOTA","COROLLA","COROLLA L","SEDAN 4D","BLUE","Front",12447,16311,11409,1.8,"F",4,"Pure"
"719","5TFSZ5AN1HX068543",8700,2017,"TOYOTA","TACOMA ACC","TACOMA ACC","CLUB CAB","GRAY","Front",15561,30218,17942,3.5,"4x4",6,"Pure"
"720","WVGBV7AX0HK019643",5600,2017,"VOLKSWAGEN","TIGUAN S","TIGUAN S","4DR SPOR","BLACK","Front",35078,15586,12393,2,"All",4,"Pure"
"721","1HGCR2F59HA043342",4800,2017,"HONDA","ACCORD SPO","ACCORD SPO","SEDAN 4D","WHITE","Front",32734,20245,15147,2.4,"F",4,"Pure"
"722","4T1BF1FK8HU388102",5300,2017,"TOYOTA","CAMRY","Camry LE","SEDAN 4D","SILVER","Front",58065,15925,21029,2.5,"F",4,"Pure"
"723","JTMRFREV5HJ140016",9800,2017,"TOYOTA","RAV4 XLE","RAV4 XLE","4DR SPOR","RED","Rear",32901,21350,18663,2.5,"All",4,"Pure"
"724","WDDSJ4GB1HN414798",9200,2017,"MERCEDES-BENZ","C CLASS","CLA 250 4M","SEDAN 4D","GRAY","Rear",58032,34274,29761,2,"All",4,"Pure"
"725","2HGFC2F50HH041737",4050,2017,"HONDA","CIVIC LX","CIVIC LX","SEDAN 4D","WHITE","Front",40437,17560,10726,2,"F",4,"Pure"
"726","JN1AR5EF9HM820735",58000,2017,"NISSAN","GTR","GT-R PREMI","COUPE","BLUE","Side",28918,98388,0,3.8,"All",6,"Approval"
"727","4JGDF6EE7HA973868",20800,2017,"MERCEDES-BENZ","GLS 450 4M","GLS 450 4M","4DR SPOR","BLACK","Front",32878,55773,0,3,"All",6,"Approval"
"728","5TDDZ3DC1HS181874",7300,2017,"TOYOTA","SIENNA XLE","SIENNA XLE","SPORTS V","BLACK","Rear",23520,35345,0,3.5,"All",6,"Approval"
"729","WBA2H9C53HV641913",5600,2017,"BMW","2 SERIES","230XI","COUPE","BLACK","Front",14341,32852,0,2,"All",4,"Approval"
"730","2HGFC2F58HH550961",5300,2017,"HONDA","CIVIC LX","CIVIC LX","SEDAN 4D","BLUE","Side",10039,15287,9446,2,"F",4,"Approval"
"731","JTJBARBZ6H2143277",12200,2017,"LEXUS","NX 200T","NX 200T","4DR SPOR","CHARCOAL","Front",20061,38975,0,2,"All",4,"Approval"
"732","WBXHT3C36H5F76570",7800,2017,"BMW","X1 XDRIVE2","X1 XDRIVE2","4DR SPOR","WHITE","Side",24266,46785,0,2,"All",4,"Approval"
"733","4JGDF6EE5HA961332",23800,2017,"MERCEDES-BENZ","GLS 450 4M","GLS 450 4M","4DR SPOR","GRAY","Front",23178,51922,0,3,"All",6,"Approval"
"734","2T3WFREV3HW399401",9400,2017,"TOYOTA","RAV4 XLE","RAV4 XLE","4DR SPOR","BURGUNDY","Front",18809,21475,0,2.5,"F",4,"Approval"
"735","WA1GCCFSXHR004123",8100,2017,"AUDI","Q3 PRESTIG","Q3 PRESTIG","4DR SPOR","GRAY","Front",28588,28646,0,2,"All",4,"Approval"
"736","JTJBARBZ3H2148338",10300,2017,"LEXUS","NX 200T","NX 200T","4DR SPOR","WHITE","ALL OVER",20794,43587,0,2,"All",4,"Approval"
"737","1HGCR2F5XHA293673",8600,2017,"HONDA","ACCORD SPO","ACCORD SPO","SEDAN 4D","WHITE","Front",47030,19765,0,2.4,"F",4,"Minimum"
"738","4T1BK1EBXHU243284",8300,2017,"TOYOTA","AVALON","AVALON XLE","SEDAN 4D","SILVER","Rear",22829,32521,0,3.5,"F",6,"Approval"
"739","4T1BF1FK2HU689285",4800,2017,"TOYOTA","CAMRY","Camry LE","SEDAN 4D","GRAY","Front",29802,24961,0,2.5,"F",4,"Approval"
"740","1N4AA6AP1HC378148",4850,2017,"NISSAN","MAXIMA","MAXIMA 3.5","SEDAN 4D","BLACK","Front",54875,34899,0,3.5,"F",6,"Approval"
"741","4T1BF1FK5HU814120",5800,2017,"TOYOTA","CAMRY","Camry LE","SEDAN 4D","GRAY","Side",47098,14326,6593,2.5,"F",4,"Minimum"
"742","2HGFC3B39HH352206",4600,2017,"HONDA","CIVIC","CIVIC EX","COUPE","GRAY","Rear",24055,21955,0,1.5,"F",4,"Approval"
"743","4JGDF7DE4HA739906",34000,2017,"MERCEDES-BENZ","GLS 550 4M","GLS 550 4M","4DR SPOR","BLACK","Front",47361,73650,0,4.7,"All",8,"Minimum"
"744","4JGDA5HB9HA887634",23000,2017,"MERCEDES-BENZ","GLE 350 4M","GLE 350 4M","4DR SPOR","WHITE","Front",24789,53260,0,3.5,"All",6,"Minimum"
"745","4JGDA5JB0HA955216",22600,2017,"MERCEDES-BENZ","GLE 350","GLE 350","4DR SPOR","BLUE","Front",20469,49888,0,3.5,"R",6,"Minimum"
"746","WDDZF4JBXHA175011",24700,2017,"MERCEDES-BENZ","E CLASS","E 300","SEDAN 4D","WHITE","ALL OVER",29715,48360,0,2,"R",4,"Minimum"
"747","WBA4T9C52H5A14646",15000,2017,"BMW","4 SERIES","440I","CONVERTI","GRAY","DAMAGE HISTORY",40240,41260,0,3,"R",6,"Minimum"
"748","19UDE2F37HA000813",2550,2017,"ACURA","ILX","ILX BASE","SEDAN 4D","WHITE","Front",35663,17530,0,2.4,"F",4,"Approval"
"749","WDDUG8CB9HA298858",38000,2017,"MERCEDES-BENZ","S CLASS","S 550","SEDAN 4D","BLUE","Side",26670,72980,0,4.6,"R",8,"Minimum"
